data,prob,index
dinner hi terri sorry i missed your call i would love to get togerther this week sometime any night will work for me just let me know thanks,0.7758109226418893,1437
matt attached is the file phillip asked me to send you andy,0.7387748142242954,8192
dm my itinerary is as follows friday november departure houston iah pm arrival tulsa pm flight monday november departure tulsa am arrival houston iah am not that you care if you need to reach me after i land my cell phone number is looking forward to seeing you guys andy,0.9537917537278872,8203
swaps topics kirks comments team my comments are below we need information on monthly cash settlements basis swaps constructing a basis swap constructing a swing swap constrructing a cross commodity swap montly cash settlement cross commodity swap need example of a crack spread swap,0.8796728947837851,8445
daily desk meeting pm please note the daily central desk meeting which starts pm will take place today only in team room located on the th floor starting tomorrow this meeting will take place in team room located on the floor thank you irena hogan sr administrative assistant enron americas,0.798925890229654,9108
trade count and volumes for april enrononline trade counts and volume for april th external internal total country commodity category count qty count qty count qty unit of measure australia power financial mwh austria power physical mwh belgium natural gas physical mmbtu canada natural gas financial mmbtu canada natural gas physical mmbtu canada power financial mwh canada denmark power financial mwh france power physical mwh germany coal physical seca contract metric tonnes germany power physical mwh netherlands power physical mwh norway power financial mwh singapore crude financial barrel switzerland power physical mwh united kingdom crude financial barrel united kingdom lpg financial mt united kingdom metals financial lme registered mt lot united kingdom natural gas physical nbp mmbtu united kingdom natural gas physical nbp option mmbtu united kingdom oil products financial ipe mt united kingdom power physical mwh usa crude financial barrel usa crude physical barrel per day usa gas pipeline capacity physical mmbtu usa lpg financial gallon usa lpg physical gallon usa lumber physical board feet usa natural gas financial mmbtu usa natural gas financial option mmbtu usa natural gas physical mmbtu usa oil products financial barrel usa paper physical short tons usa power financial mwh usa power physical mwh usa rate and currency financial eur usa rate and currency financial gbp usa rate and currency financial usd,0.9834829585778254,13834
trade count and volumes for may enrononline trade counts and volume for may external internal total country commodity category count qty count qty count qty unit of measure belgium natural gas physical mmbtu canada natural gas financial mmbtu canada natural gas financial option mmbtu canada natural gas physical mmbtu canada power financial mwh canada netherlands power physical mwh united kingdom crude financial barrel united kingdom lpg financial mt united kingdom metals financial lme registered mt lot united kingdom natural gas physical nbp mmbtu united kingdom natural gas physical nbp option mmbtu united kingdom oil products financial ipe mt united kingdom power physical mwh united kingdom sea freight financial sea freight lt lot usa bandwidth physical dso miles usa coal physical coaltons barges mnth usa crude financial barrel per month usa crude financial option barrel per month usa crude physical barrel per day usa gas pipeline capacity physical mmbtu usa lpg financial gallon usa lpg physical gallon usa natural gas financial mmbtu usa natural gas financial option mmbtu usa natural gas physical mmbtu usa oil products financial barrel usa paper physical short tons usa petchems physical gallon usa power financial mwh usa power physical mwh usa rate and currency financial eur usa rate and currency financial gbp usa rate and currency financial usd usa weather financial cooling degree day,0.9557433449198185,13844
call sonjay please give me a call at your convienence thanks andy zipper,0.9163201221697461,18422
small world does carol have a sister named mimi who is married to a guy named steve houston there is a guy i work with here who is this guys houston best friend and the woman he is married to sounded like carols sister i know it sounds complicated hope you are faring okay with the recent events andy,0.9999424692907994,18642
i think its spelled gaetien and i would like to see those guys so count me in if it happens,0.992985543605065,18649
kern assignment form please forward to julie gomez and coordinate your activities with julie who is acting on my behalf in front of kern as a result of stephanie traveling any questions call me bt,0.9363610943955508,19605
missed your call sorrry i missed your call i am in all day today call me back if you need to speak with me bt,0.9975346510953212,19620
golf sat guys as discussed i am going to be tight on time tommorrow as such i am going to take my own car up and would suggest you two carpool together i am leaving houston at am and need to be back by thanks bt,0.9966372444817296,19981
another man show boy ill send the beer boy but i dont have your home email,0.9897586236168036,20983
hey whats going on i am heading to dc this weekend with verrechio introducing him to a friend of the girl i am dating should i kiss my relationship goodbye now or wait for verrechio to do that for me gioffre get your private free email at http www hotmail com,0.9995548054338584,21461
more alyssa milano theres some smut circulating about my old lady so thought id drop this to show she has some class me alysa mov,0.7669562659705489,21503
latest left you a message this morning give me a call when you get a chance happy holidays charlie costenbader,0.7740533815594982,21755
comparison model i am attaching the comparison model that i created i just wanted to give you this in case miller needs anything while i am gone give me a call if you have any questions my cell is,0.8570154423588036,22136
please give me a call when you get this thanks ben,0.7088140489451004,23940
hey ashley please give me a call at which is my work phone at enron i look forward to talking to you about enron regards ben,0.9451062094767531,24967
winnie t what are you doing sending me this crap i want some dirty jokes i want some stories of wild drunken nights not this stuff we are getting into nyc on late on friday night i am picking up my number early on saturday morning would you be interested in going to dinner with a group of us to tony dinapolis on upper east side on saturday night were getting there at approx pm give me a call about this see ya ben,0.9820587143863692,25159
position manager good morning we are off in position manager at mid columbia because of enron canada i notified murray at enron canada at approximately this morning position manager is also not working properly it is reporting a variance at pacificorp system border and at palo verde however the position manager shows no variance when detail is clicked if you have questions let me know thanks bill,0.9464412459140017,26182
start date hourahead hour start date hourahead hour no ancillary schedules awarded variances detected variances detected in energy import export schedule log messages parsing file o portland westdesk california scheduling iso final schedules txt energy import export schedule hour bad data from iso trans type final sc id ectstca mkt type trans date tie point pverde devers interchg id enrj ciso engy type firm hour bad data from iso trans type final sc id ectstca mkt type trans date tie point malin rndmtn interchg id enrj ciso engy type firm,0.9688172951777524,26579
start date hourahead hour start date hourahead hour no ancillary schedules awarded variances detected variances detected in energy import export schedule log messages parsing file o portland westdesk california scheduling iso final schedules txt energy import export schedule hour bad data from iso trans type final sc id ectstca mkt type trans date tie point pverde devers interchg id enrj ciso engy type firm hour bad data from iso trans type final sc id ectstca mkt type trans date tie point malin rndmtn interchg id enrj ciso engy type firm,0.9688172951777524,26642
no java you are cracking me up basically you are the only thing keeping me awake today,0.9621770244027024,27123
caiso notification tswg conference call please call in pacific call in number passcode open forum jim blatchford client relations cal iso,0.742591609354397,27294
happy birthday thanks man i feel like the old man that i am i only have years until it gets really bad hunting was great the dog did great he tried to attack a bull and went tearing through the brush i thought that i would never find him after he settled down he did great thanks for keeping the family tiffany told me that you guys taught her how to call the hogs brad,0.9950501171565238,28788
i am wearing you to work today good morning sir i am wearing my sweatshirt and my new boots to work so my feet are warm and i feel like i have you wrapped around me my roses are starting to really open up now they are so beautiful i had fun at the party last night danced my fool head off good natured fun dancing with the buds from work one guy tried to dip me and failed miserably i fell on my right hip but not before i nearly knocked myself unconcious on part of the wall i ended up sitting there for a minute with a packet of frozen soybeans on my noggin i told him no more of that stuff on the way home from the party i almost just showed up at your house but figured you needed a break from me for some rest you have a good day hope you are rested and feeling good,0.9999974382718436,30189
i am leaving for home now hi sweetheart the trip and all really took it out of me i am taking off for home now looking at a little nap action and then if i feel good start packing i love you and will see you this after noon dont work my man too hard but i will rub your feet when you get home if you do love cf,0.9054952010944433,30248
tried to login to ubs enpower got this error embedded picture device independent bitmap,0.8692621276282629,30312
i will be gone from to i will return to work on cara will be scheduling light load cob and light load midc while i am gone thank you donald,0.9574716432393008,30332
